year jan feb march april may june july august september october november december annual_avg
1980 26 27 28 28 28 30 31 31 31 30 30 30 29.75
1981 31 32 32 32 33 34 35 36 36 34 34 34 33.5
1982 32 33 33 33 34 35 36 37 37 35 35 35 34.5
1983 33 34 34 34 35 36 37 38 38 36 36 36 35.5
1984 39 38 39 39 39 41 42 43 40 39 38 38 39.416666666666664
1985 38 39 39 39 39 41 41 41 0 40 39 39 35.5
1986 40 41 41 41 42 42 42 42 43 43 42 42 41.666666666666664
1987 42 43 43 43 44 44 44 44 45 45 44 44 43.416666666666664
1988 43 44 44 44 45 45 45 45 46 46 45 45 44.416666666666664
1989 45 46 46 46 47 47 47 47 48 48 47 47 46.416666666666664
1990 46 47 47 47 48 48 48 48 49 49 48 48 47.416666666666664
1991 47 48 48 48 49 49 49 49 50 50 49 49 48.416666666666664
1992 48 49 49 49 50 50 50 50 51 51 50 50 49.416666666666664
1993 49 50 50 50 51 51 51 51 52 52 51 51 50.416666666666664
1994 50 51 51 51 52 52 52 52 53 53 52 52 51.416666666666664
1995 51 52 52 52 53 53 53 53 54 54 53 53 52.416666666666664
1996 52 53 54 55 56 57 58 59 60 61 62 63 58.416666666666664
1997 53 54 55 56 57 58 59 60 61 62 63 64 59.416666666666664
1998 54 55 56 57 58 59 60 61 62 63 64 65 60.416666666666664
1999 55 56 57 58 59 60 61 62 63 64 65 66 61.416666666666664
2000 56 57 58 59 60 61 62 63 64 65 66 67 62.416666666666664
2001 57 58 59 60 61 62 63 64 65 66 67 68 63.416666666666664
2002 58 59 60 61 62 63 64 65 66 67 68 69 64.416666666666664
2003 59 60 61 62 63 64 65 66 67 68 69 70 65.416666666666664
2004 60 61 62 63 64 65 66 67 68 69 70 71 66.416666666666664
2005 61 62 63 64 65 66 67 68 69 70 71 72 67.416666666666664
2006 62 63 64 65 66 67 68 69 70 71 72 73 68.416666666666664
2007 63 64 65 66 67 68 69 70 71 72 73 74 69.416666666666664
2008 64 65 66 67 68 69 70 71 72 73 74 75 70.416666666666664
2009 65 66 67 68 69 70 71 72 73 74 75 76 71.416666666666664
2010 66 67 68 69 70 71 72 73 74 75 76 77 72.416666666666664
2011 67 68 69 70 71 72 73 74 75 76 77 78 73.416666666666664
2012 68 69 70 71 72 73 74 75 76 77 78 79 74.416666666666664
2013 69 70 71 72 73 74 75 76 77 78 79 80 75.416666666666664
2014 70 71 72 73 74 75 76 77 78 79 80 81 76.416666666666664
2015 71 72 73 74 75 76 77 78 79 80 81 82 77.416666666666664
2016 72 73 74 75 76 77 78 79 80 81 82 83 78.416666666666664
2017 73 74 75 76 77 78 79 80 81 82 83 84 79.416666666666664
2018 74 75 76 77 78 79 80 81 82 83 84 85 80.416666666666664
2019 75 76 77 78 79 80 81 82 83 84 85 86 81.416666666666664
2020 76 77 78 79 80 81 82 83 84 85 86 87 82.416666666666664
